07558;100;44.1185,3.0195
61976;69;-15.887667,54.520667
07027;87;49.18,-0.456167
07110;73;48.444167,-4.412
07591;67;44.565667,6.502333
71805;99;46.766333,-56.179167
78925;83;14.595333,-60.995667
07015;78;50.57,3.0975
07149;69;48.716833,2.384333
81408;69;3.890667,-51.804667
89642;67;-66.663167,140.001
07020;85;49.725167,-1.939833
07761;94;41.918,8.792667
81405;73;4.822333,-52.365333
07168;85;48.324667,4.02
07607;92;43.909833,-0.500167
07650;91;43.437667,5.216
71805;100;46.766333,-56.179167
07149;94;48.716833,2.384333
61972;;-22.344167,40.340667
07280;91;47.267833,5.088333
07434;96;45.861167,1.175
61976;77;-15.887667,54.520667
07020;95;49.725167,-1.939833
07117;67;48.825833,-3.473167
07168;89;48.324667,4.02
07690;74;43.648833,7.209
61970;68;-17.054667,42.712
71805;100;46.766333,-56.179167
7434;100;1.175
