07558;2.6000000000000227
61976;32.30000000000001
07027;0.5
07110;3.8000000000000114
07591;1.3000000000000114
71805;1.900000000000034
78925;25.900000000000034
07015;1.7000000000000455
07149;-0.5
81408;30.100000000000023
89642;-1.8999999999999773
07020;4.100000000000023
07761;11.900000000000034
81405;29.30000000000001
07168;-7.399999999999977
07607;-0.6999999999999886
07650;3.5
71805;2.0
07149;-4.399999999999977
61972;26.600000000000023
07280;-2.6999999999999886
07434;-6.199999999999989
61976;29.0
07020;1.5
07117;3.900000000000034
07168;-10.599999999999966
07690;3.5
61970;31.0
71805;1.8000000000000114
7434;-0.39999999999997726
